Origin,Destination,Value,Zone
Balbriggan,Dublin Connolly,D90,2
Balbriggan,Tara Street,D90,2
Balbriggan,Dublin Pearse,D90,2
Balbriggan,Grand Canal Dock,D90,2
Balbriggan,Lansdowne Road,D90,2
Balbriggan,Sandymount,D90,2
Balbriggan,Sydney Parade,D90,2
Balbriggan,Booterstown,D90,2
Balbriggan,Blackrock,D90,2
Balbriggan,Seapoint,D90,2
Balbriggan,Salthill and Monkstown,D90,2
Balbriggan,Dun Laoghaire (Mallin),D90,2
Balbriggan,Sandycove and Glasthule,D90,2
Balbriggan,Glenageary,D90,2
Balbriggan,Dalkey,D90,2
Balbriggan,Killiney,D90,2
Balbriggan,Shankill,D90,2
Balbriggan,Bray (Daly),D90,2
Balbriggan,Greystones,D91,2
Balbriggan,Kilcoole,D91,2
Balbriggan,Wicklow,D92,3
Balbriggan,Rathdrum,D93,4
Balbriggan,Docklands,D90,2
Balbriggan,Drumcondra,D90,2
Balbriggan,Broombridge,D90,2
Balbriggan,Pelletstown,D90,2
Balbriggan,Ashtown,D90,2
Balbriggan,Navan Road Parkway,D90,2
Balbriggan,Castleknock,D90,2
Balbriggan,Coolmine,D90,2
Balbriggan,Clonsilla,D90,2
Balbriggan,Hansfield,D90,2
Balbriggan,Dunboyne,D90,2
Balbriggan,M3 Parkway,D90,2
Balbriggan,Leixlip(Confey),D90,2
Balbriggan,Leixlip(Louisa Bridge),D90,2
Balbriggan,Maynooth,D90,2
Balbriggan,Kilcock,D91,2
Balbriggan,Enfield,D92,3
Balbriggan,Dublin Heuston,D90,2
Balbriggan,Park West and Cherry Orchard,D90,2
Balbriggan,Clondalkin Fonthill,D90,2
Balbriggan,Kishoge,D90,2
Balbriggan,Adamstown,D90,2
Balbriggan,Hazelhatch and Celbridge,D90,2
Balbriggan,Sallins and Naas,D91,2
Balbriggan,Newbridge,D92,3
Balbriggan,Kildare,D93,4
Skerries,Drogheda (MacBride),D12,3
Skerries,Laytown,D11,3
Skerries,Gormanston,D10,2
Skerries,Balbriggan,D10,2
Skerries,Rush and Lusk,D10,2
Skerries,Donabate,D14,2
Skerries,Malahide,D14,2
Skerries,Portmarnock,D14,2
Skerries,Clongriffin,D14,2
Skerries,Howth,D90,2
Skerries,Sutton,D90,2
Skerries,Bayside,D14,2
Skerries,Howth Junction and Donaghmede,D14,2
Skerries,Kilbarrack,D14,2
Skerries,Raheny,D14,2
Skerries,Harmonstown,D90,2
Skerries,Killester,D90,2
Skerries,Clontarf Road,D90,2
Skerries,Dublin Connolly,D90,2
Skerries,Tara Street,D90,2
Skerries,Dublin Pearse,D90,2
Skerries,Grand Canal Dock,D90,2
Skerries,Lansdowne Road,D90,2
Skerries,Sandymount,D90,2
Skerries,Sydney Parade,D90,2
Skerries,Booterstown,D90,2
Skerries,Blackrock,D90,2
Skerries,Seapoint,D90,2
Skerries,Salthill and Monkstown,D90,2
Skerries,Dun Laoghaire (Mallin),D90,2
Skerries,Sandycove and Glasthule,D90,2
Skerries,Glenageary,D90,2
Skerries,Dalkey,D90,2
Skerries,Killiney,D90,2
Skerries,Shankill,D90,2
Skerries,Bray (Daly),D90,2
Skerries,Greystones,D91,2
Skerries,Kilcoole,D91,2
Skerries,Wicklow,D92,3
Skerries,Rathdrum,D93,4
Skerries,Docklands,D90,2
Skerries,Drumcondra,D90,2
Skerries,Broombridge,D90,2
Skerries,Pelletstown,D90,2
Skerries,Ashtown,D90,2
Skerries,Navan Road Parkway,D90,2
Skerries,Castleknock,D90,2
Skerries,Coolmine,D90,2
Skerries,Clonsilla,D90,2
Skerries,Hansfield,D90,2
Skerries,Dunboyne,D90,2
Skerries,M3 Parkway,D90,2
Skerries,Leixlip(Confey),D90,2
Skerries,Leixlip(Louisa Bridge),D90,2
Skerries,Maynooth,D90,2
Skerries,Kilcock,D91,2
Skerries,Enfield,D92,3
Skerries,Dublin Heuston,D90,2
Skerries,Park West and Cherry Orchard,D90,2
Skerries,Clondalkin Fonthill,D90,2
Skerries,Kishoge,D90,2
Skerries,Adamstown,D90,2
Skerries,Hazelhatch and Celbridge,D90,2
Skerries,Sallins and Naas,D91,2
Skerries,Newbridge,D92,3
Skerries,Kildare,D93,4
Rush and Lusk,Drogheda (MacBride),D91,3
Rush and Lusk,Laytown,D11,3
Rush and Lusk,Gormanston,D90,2
Rush and Lusk,Balbriggan,D14,2
Rush and Lusk,Skerries,D10,2
Rush and Lusk,Donabate,D2,1
Rush and Lusk,Malahide,D2,1
Rush and Lusk,Portmarnock,D2,1
Rush and Lusk,Clongriffin,D2,1
Rush and Lusk,Howth,D2,1
Rush and Lusk,Sutton,D2,1
Rush and Lusk,Bayside,D2,1
Rush and Lusk,Howth Junction and Donaghmede,D2,1
Rush and Lusk,Kilbarrack,D2,1
Rush and Lusk,Raheny,D2,1
Rush and Lusk,Harmonstown,D2,1
Rush and Lusk,Killester,D2,1
Rush and Lusk,Clontarf Road,D2,1
Rush and Lusk,Dublin Connolly,D2,1
Rush and Lusk,Tara Street,D2,1
Rush and Lusk,Dublin Pearse,D2,1
Rush and Lusk,Grand Canal Dock,D2,1
Rush and Lusk,Lansdowne Road,D2,1
Rush and Lusk,Sandymount,D2,1
Rush and Lusk,Sydney Parade,D2,1
Rush and Lusk,Booterstown,D2,1
Rush and Lusk,Blackrock,D2,1
Rush and Lusk,Seapoint,D2,1
Rush and Lusk,Salthill and Monkstown,D2,2
Rush and Lusk,Dun Laoghaire (Mallin),D2,1
Rush and Lusk,Sandycove and Glasthule,D2,1
Rush and Lusk,Glenageary,D2,1
Rush and Lusk,Dalkey,D2,1
Rush and Lusk,Killiney,D2,1
Rush and Lusk,Shankill,D2,1
Rush and Lusk,Bray (Daly),D2,1
Rush and Lusk,Greystones,D90,2
Rush and Lusk,Kilcoole,D90,2
Rush and Lusk,Wicklow,D91,3
Rush and Lusk,Rathdrum,D92,4
Rush and Lusk,Docklands,D2,1
Rush and Lusk,Drumcondra,D2,1
Rush and Lusk,Broombridge,D2,1
Rush and Lusk,Pelletstown,D2,1
Rush and Lusk,Ashtown,D2,1
Rush and Lusk,Navan Road Parkway,D2,1
Rush and Lusk,Castleknock,D2,1
Rush and Lusk,Coolmine,D2,1
Rush and Lusk,Clonsilla,D2,1
Rush and Lusk,Hansfield,D2,1
Rush and Lusk,Dunboyne,D2,1
Rush and Lusk,M3 Parkway,D2,1
Rush and Lusk,Leixlip(Confey),D2,1
Rush and Lusk,Leixlip(Louisa Bridge),D2,1
Rush and Lusk,Maynooth,D2,1
Rush and Lusk,Kilcock,D90,2
Rush and Lusk,Enfield,D91,3
Rush and Lusk,Dublin Heuston,D2,1
Rush and Lusk,Park West and Cherry Orchard,D2,1
Rush and Lusk,Clondalkin Fonthill,D2,1
Rush and Lusk,Kishoge,D2,1
Rush and Lusk,Adamstown,D2,1
Rush and Lusk,Hazelhatch and Celbridge,D2,1
Rush and Lusk,Sallins and Naas,D90,1
Rush and Lusk,Newbridge,D91,3
Rush and Lusk,Kildare,D92,4
Donabate,Drogheda (MacBride),D91,3
Donabate,Laytown,D91,3
Donabate,Gormanston,D90,2
Donabate,Balbriggan,D14,2
Donabate,Skerries,D14,2
Donabate,Rush and Lusk,D2,1
Donabate,Malahide,D2,1
Donabate,Portmarnock,D2,1
Donabate,Clongriffin,D2,1
Donabate,Howth,D2,1
Donabate,Sutton,D2,1
Donabate,Bayside,D2,1
Donabate,Howth Junction and Donaghmede,D2,1
Donabate,Kilbarrack,D2,1
Donabate,Raheny,D2,1
Donabate,Harmonstown,D2,1
Donabate,Killester,D2,1
Donabate,Clontarf Road,D2,1
Donabate,Dublin Connolly,D2,1
Donabate,Tara Street,D2,1
Donabate,Dublin Pearse,D2,1
Donabate,Grand Canal Dock,D2,1
Donabate,Lansdowne Road,D2,1
Donabate,Sandymount,D2,1
Donabate,Sydney Parade,D2,1
Donabate,Booterstown,D2,1
Donabate,Blackrock,D2,1
Donabate,Seapoint,D2,1
Donabate,Salthill and Monkstown,D2,2
Donabate,Dun Laoghaire (Mallin),D2,1
Donabate,Sandycove and Glasthule,D2,1
Donabate,Glenageary,D2,1
Donabate,Dalkey,D2,1
Donabate,Killiney,D2,1
Donabate,Shankill,D2,1
Donabate,Bray (Daly),D2,1
Donabate,Greystones,D90,2
Donabate,Kilcoole,D90,2
Donabate,Wicklow,D91,3
Donabate,Rathdrum,D92,4
Donabate,Docklands,D2,1
Donabate,Drumcondra,D2,1
Donabate,Broombridge,D2,1
Donabate,Pelletstown,D2,1
Donabate,Ashtown,D2,1
Donabate,Navan Road Parkway,D2,1
Donabate,Castleknock,D2,1
Donabate,Coolmine,D2,1
Donabate,Clonsilla,D2,1
Donabate,Hansfield,D2,1
Donabate,Dunboyne,D2,1
Donabate,M3 Parkway,D2,1
Donabate,Leixlip(Confey),D2,1
Donabate,Leixlip(Louisa Bridge),D2,1
Donabate,Maynooth,D2,1
Donabate,Kilcock,D90,2
Donabate,Enfield,D91,3
Donabate,Dublin Heuston,D2,1
Donabate,Park West and Cherry Orchard,D2,1
Donabate,Clondalkin Fonthill,D2,1
Donabate,Kishoge,D2,1
Donabate,Adamstown,D2,1
Donabate,Hazelhatch and Celbridge,D2,1
Donabate,Sallins and Naas,D90,1
Donabate,Newbridge,D91,3
Donabate,Kildare,D92,4
Malahide,Drogheda (MacBride),D91,3
Malahide,Laytown,D91,3
Malahide,Gormanston,D90,2
Malahide,Balbriggan,D14,2
Malahide,Skerries,D14,2
Malahide,Rush and Lusk,D2,1
Malahide,Donabate,D2,1
Malahide,Portmarnock,D1,1
Malahide,Clongriffin,D2,1
